Longitude;Latitude;timeStamp ;Main (cl/min);Débit GE (ml/min);Débit GI (ml/min);Débit DI (ml/min);Débit DE (ml/min);ref_d1;ref_d2;ref_d3;ref_d4;Speed_brut;Speed_kmh;Speed_moymobile;Pressure_brut;Pressure_bars;Debit_ref_GE;Debit_ref_GI;Debit_ref_DI;Debit_ref_DE;volrate_d1;volrate_d2;volrate_d3;volrate_d4
3.8287581;43.6587729;14:39:01:994;0;1444;1406;1413;1457;76;76;76;76;41.9;4.19;4.126190476;416;4.16;1567.952381;1567.952381;1567.952381;1567.952381;69.99192152;68.15002885;68.48932487;70.6220427
3.8287604;43.658772;14:39:02:090;0;1444;1409;1416;1457;76;76;76;76;38.9;3.89;4.13;416;4.16;1569.4;1569.4;1569.4;1569.4;69.92736077;68.23244552;68.57142857;70.55690073
3.8287604;43.658772;14:39:02:183;0;1444;1409;1416;1457;76;76;76;76;38.9;3.89;4.11952381;418;4.18;1565.419048;1565.419048;1565.419048;1565.419048;70.10519015;68.40596463;68.74580973;70.73633106
3.8287631;43.6587715;14:39:02:282;0;1447;1413;1419;1454;76;76;76;76;40;4;4.109047619;418;4.18;1561.438095;1561.438095;1561.438095;1561.438095;70.42994553;68.77506084;69.06709932;70.77065709
3.8287631;43.6587715;14:39:02:377;0;1447;1413;1419;1450;76;76;76;76;40;4;4.103809524;418;4.18;1559.447619;1559.447619;1559.447619;1559.447619;70.51984219;68.86284521;69.15525644;70.66604781
3.8287657;43.6587706;14:39:02:471;0;1451;1413;1419;1447;76;76;76;76;41.9;4.19;4.084285714;418;4.18;1552.028571;1552.028571;1552.028571;1552.028571;71.05281567;69.19202518;69.48583421;70.85694299
3.8287657;43.6587706;14:39:02:567;0;1454;1416;1416;1450;76;76;76;76;41.9;4.19;4.073809524;416;4.16;1548.047619;1548.047619;1548.047619;1548.047619;71.38281707;69.51724138;69.51724138;71.18644068
3.8287678;43.6587693;14:39:02:667;0;1457;1416;1413;1450;76;76;76;76;41.9;4.19;4.073809524;416;4.16;1548.047619;1548.047619;1548.047619;1548.047619;71.53009936;69.51724138;69.36995909;71.18644068
3.8287678;43.6587693;14:39:02:805;0;1457;1419;1413;1454;76;76;76;76;41.9;4.19;4.073809524;415;4.15;1548.047619;1548.047619;1548.047619;1548.047619;71.53009936;69.66452367;69.36995909;71.38281707
3.8287702;43.6587682;14:39:02:901;0;1457;1416;1406;1454;76;76;76;76;43;4.3;4.082857143;415;4.15;1551.485714;1551.485714;1551.485714;1551.485714;71.37158852;69.36319104;68.873338;71.22463261
3.8287702;43.6587682;14:39:02:989;0;1457;1413;1406;1454;76;76;76;76;43;4.3;4.097142857;414;4.14;1556.914286;1556.914286;1556.914286;1556.914286;71.12273361;68.9748954;68.63319386;70.9762901
3.8287729;43.6587678;14:39:03:082;0;1457;1413;1406;1454;76;76;76;76;40;4;4.111428571;414;4.14;1562.342857;1562.342857;1562.342857;1562.342857;70.87560806;68.7352328;68.39471855;70.72967338
3.8287729;43.6587678;14:39:03:170;0;1454;1409;1406;1450;76;76;76;76;40;4;4.111428571;414;4.14;1562.342857;1562.342857;1562.342857;1562.342857;70.72967338;68.54065323;68.39471855;70.53509382
3.8287755;43.6587672;14:39:03:315;0;1454;1409;1406;1450;76;76;76;76;40;4;4.097142857;414;4.14;1556.914286;1556.914286;1556.914286;1556.914286;70.9762901;68.77963738;68.63319386;70.78103208
3.8287755;43.6587672;14:39:03:412;0;1454;1409;1403;1454;76;76;76;76;40;4;4.082857143;414;4.14;1551.485714;1551.485714;1551.485714;1551.485714;71.22463261;69.02029391;68.72638209;71.22463261
3.8287777;43.658766;14:39:03:513;0;1451;1409;1403;1457;76;76;76;76;40;4;4.082857143;414;4.14;1551.485714;1551.485714;1551.485714;1551.485714;71.0776767;69.02029391;68.72638209;71.37158852
3.8287777;43.658766;14:39:03:613;0;1447;1406;1403;1457;76;76;76;76;40;4;4.082857143;414;4.14;1551.485714;1551.485714;1551.485714;1551.485714;70.88173548;68.873338;68.72638209;71.37158852
3.8287799;43.6587648;14:39:03:710;0;1444;1403;1403;1454;76;76;76;76;41.1;4.11;4.082857143;414;4.14;1551.485714;1551.485714;1551.485714;1551.485714;70.73477957;68.72638209;68.72638209;71.22463261
3.8287799;43.6587648;14:39:03:799;0;1444;1403;1406;1454;76;76;76;76;41.1;4.11;4.088095238;414;4.14;1553.47619;1553.47619;1553.47619;1553.47619;70.64414677;68.63832266;68.78509027;71.13337216
